language;mean;std_dev;date
Bigloo Scheme;0,022980;0,000218;2025-12-21
Racket Scheme;0,103222;0,000333;2025-12-22
Gambit Scheme;0,033970;0,000181;2025-12-22
Gambit Scheme 8-batch;0,038526;0,000252;2025-12-22
CHICKEN Scheme;0,057960;0,000432;2025-12-22
