language;mean;std_dev;date
~.js (-O1, preamble) on node.js;0,045;0,001;2026-02-06
~.dart with dart run command;0,217;0,004;2026-02-08
~.dart with dart command;0,146;0,002;2026-02-08
~.jit with dart run command;0,102;0,004;2026-02-08
~.jit with dart command;0,037;0,000;2026-02-08
~.aot with dartaotruntime command;0,014;0,003;2026-02-08
~.exe, standalone executable;0,014;0,004;2026-02-08
