language;mean;std_dev;date
JavaScript / node.js;0,042;0,001;2026-01-31
TypeScript / node.js;0,065;0,001;2026-01-31
C to WebAssembly / node.js;0,030;0,001;2026-02-01
C to WebAssembly / Wasmtime;0,011;0,000;2026-02-01
C to WebAss. / Wasmtime (AOT);0,011;0,000;2026-02-02
Standard ML to JS / node.js;0,283;0,004;2026-02-01
ReScript to JS / node.js;0,045;0,002;2026-02-03
Dart to JS / node.js;0,045;0,001;2026-02-06
